name_low,unix_date,date,tool,index,len_cut,min_current_main,max_current_main,min_current_sub,max_current_sub,rms_current_main,rms_current_sub,std_current_main,std_current_sub,svd_current_sub_0,svd_current_sub_1,svd_current_sub_2,svd_current_sub_3,svd_current_sub_4,svd_current_sub_5,svd_current_sub_6,svd_current_sub_7,svd_current_sub_8,svd_current_sub_9,svd_current_main_0,svd_current_main_1,svd_current_main_2,svd_current_main_3,svd_current_main_4,svd_current_main_5,svd_current_main_6,svd_current_main_7,svd_current_main_8,svd_current_main_9,failed
1568213830_11_0,1568213830,2019-09-11 10:57:10,11,0,2855,273.005859375,918.9774780273438,0.1869104653596878,9.374612808227539,633.5472304017849,2.6023085433184994,97.1624103834576,1.0981376436186079,402.2377232860811,73.75911706054166,70.71306346174882,61.37571914015816,60.4909302163379,56.27510597705977,55.78162238027808,50.56687102447647,46.77083143152445,42.067129460199496,106693.72887001194,3802.6143130612163,2290.2387567114497,2236.0095073968623,1483.8894051597026,850.7255916810485,724.7096640475087,592.1572576784821,396.8438081806538,276.96714086276114,
1568213830_36_7,1568213830,2019-09-11 10:57:10,36,7,206,0.4260696470737457,3.361459255218506,218.58958435058594,1106.9932861328125,1.538648236765644,596.0946501719227,0.4888230198528343,211.254152750279,25730.53753291227,3460.9492364163343,1634.0795073119139,997.7656430576118,368.53690853528786,209.88355822096196,117.69238523663489,73.27835510698384,69.20024696442958,60.951825898376185,64.31390393589734,7.729635259094012,7.703237143280009,7.345188726144134,7.330873545688311,6.658586538428627,6.442463589178514,6.076707220909946,5.688223120616413,5.564611886353897,
1568213682_17_1,1568213682,2019-09-11 10:54:42,17,1,460,173.03289794921875,1213.4454345703125,0.40908199548721313,5.282553672790527,591.7854199715637,2.4424344944465215,245.6736413929707,0.9466132044143827,152.3719042944248,25.687426157278875,24.37146515123773,19.236662807230445,19.042702072978095,18.466781521519355,18.154121844974927,17.520964038299862,16.387013590057162,15.60702774489616,38980.864257026886,3191.286655680028,1442.5188157699029,1019.4526215737138,530.9791278520273,327.9149411575174,297.28702088140824,293.2180389298559,260.1017546645643,231.85349979379785,
1540298755_15_1,1540298755,2018-10-23 08:45:55,15,1,350,229.0,628.0,1.0,8.0,403.780888247928,2.294714423564354,89.3983675146572,1.1401432061860672,119.9045375439783,23.66217125744773,21.816271220330343,21.760024439519672,20.971669516692323,20.542611304785975,19.62584245109206,19.54197210834998,18.50918381034768,18.250838926462038,23540.935322399713,928.633634547929,673.5435936827347,594.6405230728312,490.63594971661956,399.4962715687111,392.7697310254361,371.6276934001818,260.84197242173695,252.7424583808222,
1568213682_37_0,1568213682,2019-09-11 10:54:42,37,0,2310,0.4758591949939728,3.1735527515411377,389.88616943359375,997.35595703125,1.4953248064065674,712.821922237542,0.43869021527748225,182.16650147858695,106545.74142717141,17058.505102126866,6719.071771087834,2735.8009124408504,1835.2018361378855,1633.7015363887303,1141.4895714240622,1095.1535291341195,760.4390619463363,693.5637715575231,218.27031384023155,23.294429048451484,22.572548720168033,21.280021649709862,20.254955452347573,20.225682358182056,19.90467385709249,19.63404268257122,19.04196073000355,15.860435437039325,
1574906106_54_4,1574906106,2019-11-27 20:55:06,54,4,1514,1.0,5.0,244.0,1002.0,1.519577219934802,581.1132224263459,0.5743116953811512,150.33111308266436,70455.99337273267,6801.766837872992,3605.269866719187,2728.7974301389627,2365.4144774974548,1817.7237875289034,974.0479677678542,863.1545132368519,819.9903734218954,622.4626335902395,174.336771252263,22.88865622344487,22.862226379516002,22.85594184573434,22.370136907695045,22.33891468670932,21.851240066425117,21.527705518664952,21.18429731571201,20.58107743022136,1
1568213830_6_4,1568213830,2019-09-11 10:57:10,6,4,309,240.54383850097656,616.0122680664062,0.5685412287712097,5.375617027282715,402.4792254547898,2.191852296308193,103.01889030686188,0.8212394569724453,110.62342841618695,15.505573410599103,14.880624741349601,14.138594229796126,13.838545273296461,13.001964082172936,12.94293527951761,12.044442047251884,10.979631938693476,10.066426772522572,21382.274037290306,814.2639887309589,335.2578658182441,217.6077591082534,179.33848959575042,117.30936673031536,102.87795976563007,76.8892960171917,74.24140939691,73.85253346433726,
1568213682_6_2,1568213682,2019-09-11 10:54:42,6,2,305,240.9348602294922,600.9022827148438,0.5363675355911255,5.700049877166748,403.1082591787246,2.1269410199992382,95.25503842553367,0.7812261107119198,108.03714459292216,15.432408907005195,14.732638886449434,14.242095078092879,14.018348973189054,13.11496038124485,12.599167945612887,11.80287316797683,11.357047146836674,11.025480802759674,21530.718710341574,794.4169939507815,357.89926025457186,212.0933754122169,145.3778363527752,111.75762272517719,92.21096036063423,71.44014458211275,71.0962390284936,65.63018612686402,
1568211798_54_3,1568211798,2019-09-11 10:23:18,54,3,1993,1.0,3.0,210.0,2323.0,1.5974766856402238,1488.3396186258362,0.6412557408451284,512.9217991466353,209489.8148758996,12575.043374601733,5413.634215363789,2304.274867338562,1952.6357056868408,1570.3587899653578,1550.8959583897959,1451.9009167454553,913.3062412487884,911.094145377922,209.12747838762658,28.446517812085396,28.216780411697187,28.2077511175839,27.940031558264025,27.846804902574807,27.835545389403578,27.669999864395034,26.893623905099204,26.866821444995484,
1568213682_32_0,1568213682,2019-09-11 10:54:42,32,0,2696,0.5981632471084595,3.670269727706909,363.4066162109375,1620.7025146484375,1.505722194069845,880.8026256986732,0.43774280909275065,232.62937469990501,143433.85906907308,15150.960958575582,5979.178191183158,2359.9712062837107,1667.5562057215634,1512.3633110304918,1330.5769611548928,1288.378843354293,987.2188863291502,967.9158679391571,237.9315078905559,24.61842625562222,23.815623907748588,22.316750356509008,21.49473426765985,21.317241690696516,21.195063893633073,20.958965374772927,20.652590064499773,18.167690036004515,
1568211798_1_1,1568211798,2019-09-11 10:23:18,1,1,1135,220.0,663.0,1.0,10.0,452.2630350398274,2.4350596334591486,100.97545968326567,1.2106592508919531,227.70166052801267,44.7622784860893,43.76559162171534,42.05537090416378,40.904352268901334,40.30961601411146,39.803049068179845,38.06836840222366,37.82294914369911,36.29216083443071,47595.501274782095,3719.405078870913,1239.6082830560324,779.5456844452027,705.4487701660216,644.5694735241301,435.2548771832555,427.6734923393281,312.03813798806965,301.44501103724167,
